"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",0.284786903753881,0.0155235675980807,0.0544736099350833,0.00705616709003669,0.0087496471916455,0.120519333897827,0.0239909681061248,0.0519333897826701,0.00705616709003669,0.0138300874964719,0.026531188258538,0.0680214507479537,0.0883432119672594,0.117979113745414,0.111205193338978
"2",0.141004331620832,0.0250705147577314,0.0968066888284477,0.00159287800946912,0.000346277828145462,0.109102699707867,0.00079958698499043,0.00608819381484839,0.000157399012793392,0.0131522615090158,0.131031530170243,0.0600319834793996,0.13214591518082,0.238579127631712,0.0440906114636849
"3",0.0863306752964733,0.086367690398635,0.0801174260050481,0.00206843916127304,0.000476789768320713,0.107072352186359,0.000156873528209033,0.0247639846581215,2.46767347744546e-05,0.0479089992526475,0.065485884907709,0.061028209033095,0.121918052089062,0.285463993118716,0.0308159538615565
"4",0.0319248703704913,0.044921547764367,0.0513774563241575,0.00155794759986858,0.00113691008509962,0.0705819891683475,0.000533096594927096,0.0243755698149828,5.98373728999802e-05,0.0997837150957724,0.0386157766129436,0.0430937880103312,0.0868196762689331,0.471625117770829,0.0335927011460489
"5",0.010221356526936,0.114015804431964,0.130593649443945,0.00280911528798101,0.00450644932002272,0.0394253892607643,6.04228943445269e-05,0.0496192808357255,3.40565404487334e-05,0.175732847313543,0.0905365662877602,0.0617115498911839,0.108145994895913,0.183484555358907,0.0291029617105612
"6",0.00945721603938193,0.0975618078130864,0.158466608544438,0.00505922231517072,0.00226017815521929,0.0458730276386492,5.41219131390357e-05,0.0334979345430758,4.70625331643788e-05,0.129187830099549,0.126822937808039,0.0553678937045626,0.0835489385633926,0.204987922577427,0.0478072977517051
"7",0.0242920184857014,0.105497063831266,0.15800410021196,0.0106779248757775,0.00198408561798534,0.0712533444525522,0.000232808645192675,0.036926230932277,0.000128565968240731,0.0863059870044129,0.0757149310260954,0.0379269606310157,0.136238229264394,0.200472566802182,0.0543451822509469
"8",0.0768657949573051,0.0670928643013342,0.0849133333762535,0.0102514909406178,0.000652387114496085,0.125009388794822,8.58404098021164e-05,0.0176230361323745,0.000143782686418545,0.0384822557142888,0.0782435335346291,0.0762091158223189,0.146589667819074,0.230251877222462,0.0475856311738032
"9",0.0369817179260687,0.0906956824326133,0.13388206322439,0.00658743542386038,0.00316657298107551,0.0650633046923098,0.000163280601729168,0.065416633207527,8.29786664525282e-05,0.150512594020183,0.0671672153965577,0.0506410771166252,0.113991273856367,0.179887041944378,0.0357611285098638
"10",0.00928494375096317,0.074436064879026,0.127509053783326,0.00971836954846664,0.00300749345045462,0.0931239405147172,0.000349148559100015,0.0651101864694098,9.63168438896594e-05,0.110692132840191,0.100672773154569,0.0303711087995069,0.141660406071814,0.195325743566035,0.0386423177685314
"11",0.00798878395894506,0.0779931486919028,0.120192180514774,0.00673888315742137,0.00445731820225908,0.0448806972991561,0.000400100521122662,0.0480748882363834,0.000152104330344153,0.163323678014972,0.114944581117901,0.0270745708012592,0.175386212734439,0.155179483109806,0.0532133693093141
"12",0.0233122694553483,0.073043983946823,0.152170458502808,0.0151470583263177,0.0033303242079069,0.0776185308029631,0.000865546190075296,0.0406772898937339,0.000196100308688934,0.131326348105096,0.063286303069646,0.0231601226641241,0.154807669550694,0.20244990144269,0.0386080935330852
